"テーマ情報
2B027,○,Ｆ,栽培用器（植木鉢），播種用鉢                                                                                                                                                                                                                                                                                                                                                   ,(A01G9/00-9/10@Z                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ),2B028を統合（H05）、2B327へ変更（H17）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,○,,,
2B028,○,,播種用鉢,(A01G9/06-9/10),2B027に統合（H05）,○,,1990,
2B029,,Ｆ,温室                                                                                                                                                                                                                                                                                                                                                                                       ,A01G9/14-9/26@Z,リスト再作成（H05）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,○,,,
2B030,,ＦＩ,植物の育種及び培養による繁殖                                                                                                                                                                                                                                                                                                                                                   ,A01H1/00-17/00,ＦＩ化（R5）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,,
2B031,,ＦＩ,土作業機（１）（手作業機）                                                                                                                                                                                                                                                                                                                                                      ,A01B1/00-1/24,ＦＩ化（H06）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1994,
2B032,,Ｆ,土作業機（２）（プラウ、ハロー）                                                                                                                                                                                                                                                                                                                                             ,A01B3/00-25/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B033,,Ｆ,土作業機（３）（ロータリ）                                                                                                                                                                                                                                                                                                                                                      ,A01B33/00-33/16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B034,,Ｆ,土作業機（４）（その他）                                                                                                                                                                                                                                                                                                                                                         ,A01B27/00-31/00;35/00-49/06,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B041,,Ｆ,農業機械一般（１）連結、尾輪、ＰＴＯ等                                                                                                                                                                                                                                                                                                                                    ,A01B51/00-61/04;63/14-67/00;71/00-79/02,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B043,,Ｆ,農業機械一般（３）操向                                                                                                                                                                                                                                                                                                                                                            ,A01B69/00-69/08,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B051,,Ｆ,播種・植付けの前処理                                                                                                                                                                                                                                                                                                                                                               ,A01C1/00-1/08,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B052,,Ｆ,施肥                                                                                                                                                                                                                                                                                                                                                                                       ,A01C3/00-3/08;15/00-23/04@Z,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B053,,ＦＩ,条溝・孔の形成・覆土                                                                                                                                                                                                                                                                                                                                                               ,A01C5/00-5/08,ＦＩ化（H06）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,1994,
2B054,,Ｆ,播種                                                                                                                                                                                                                                                                                                                                                                                       ,A01C7/00-9/08,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B060,,Ｆ,移植機（１）（主として畑作用）                                                                                                                                                                                                                                                                                                                                                ,"A01C11/00-11/02,303@Z;11/04-14/00",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B062,,Ｆ,移植機（３）（田植機の要素）                                                                                                                                                                                                                                                                                                                                                   ,"A01C11/02,310;11/02,313-11/02,332",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B063,,Ｆ,移植機（４）（田植機の接地部）                                                                                                                                                                                                                                                                                                                                                ,"A01C11/02,333-11/02,343@Z",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B064,,Ｆ,移植機（５）（田植機の苗載部）                                                                                                                                                                                                                                                                                                                                                ,"A01C11/02,350-11/02,366@Z",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B065,,ＦＩ,移植機（６）（田植機の植付部）                                                                                                                                                                                                                                                                                                                                                ,"A01C11/02,370-11/02,387",ＦＩ化（R3）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,,
2B071,,ＦＩ,収穫機本体（１）（手作業具、方法）                                                                                                                                                                                                                                                                                                                                          ,A01D1/00-11/06;91/00-93/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,
2B072,,Ｆ,収穫機本体（２）（地下収穫）                                                                                                                                                                                                                                                                                                                                                   ,A01D13/00-33/14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B073,,ＦＩ,収穫機本体（３）（結束関連、束集積）                                                                                                                                                                                                                                                                                                                                       ,A01D37/00-39/00;59/00-59/14;75/04-75/06,ＦＩ化（R2）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,○,,,
2B074,,Ｆ,収穫機本体（４）（コンバイン）                                                                                                                                                                                                                                                                                                                                                ,A01D41/00-41/127;41/133-41/16;47/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B075,,部分Ｆ,収穫機本体（５）（特定作物用）                                                                                                                                                                                                                                                                                                                                                ,A01D43/00-43/04;43/08-46/30;51/00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
2B076,,Ｆ,収穫機本体（６）（機枠、駆動）                                                                                                                                                                                                                                                                                                                                                ,A01D67/00-69/12@Z,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,○,,,
