id,application_number,application_date,publication_number,publication_date,registration_number,registration_date,title,abstract,created_at,updated_at
11,2025-200000,2025-06-18 00:00:00.000000,JP2025-200000A,2027-12-18 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を改善する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 00:40:15.048698,2025-04-27 10:22:42.982975
12,2025-200001,2025-11-23 00:00:00.000000,JP2025-200001A,2026-05-23 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を最適化する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 00:40:15.073307,2025-04-27 10:22:43.005426
13,2025-200002,2025-03-11 00:00:00.000000,JP2025-200002A,2027-09-11 00:00:00.000000,,,デバイスに関する技術,本発明は、デバイスに関する技術を可能にする。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス技術を実現できる。,2025-04-27 00:40:15.108350,2025-04-27 10:22:43.020378
14,2025-200003,2025-01-05 00:00:00.000000,JP2025-200003A,2027-07-05 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を提供する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 00:40:15.130507,2025-04-27 10:22:43.037502
15,2025-200004,2025-01-21 00:00:00.000000,JP2025-200004A,2027-07-21 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を提供する。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 00:40:15.156331,2025-04-27 10:22:43.053957
16,2024-200005,2024-09-05 00:00:00.000000,JP2024-200005A,2025-03-05 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を可能にする。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:40:15.183700,2025-04-27 10:22:43.070718
17,2024-200006,2024-06-10 00:00:00.000000,JP2024-200006A,2026-12-10 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を改善する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 00:40:15.207858,2025-04-27 10:22:43.084034
18,2024-200007,2024-05-13 00:00:00.000000,JP2024-200007A,2026-11-13 00:00:00.000000,,,デバイスに関する技術,本発明は、デバイスに関する技術を最適化する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス技術を実現できる。,2025-04-27 00:40:15.235311,2025-04-27 10:22:43.099563
19,2024-200008,2024-09-17 00:00:00.000000,JP2024-200008A,2025-03-17 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 00:40:15.256176,2025-04-27 10:22:43.115702
20,2024-200009,2024-08-28 00:00:00.000000,JP2024-200009A,2025-02-28 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を実現する。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 00:40:15.283212,2025-04-27 10:22:43.130553
21,2023-200010,2023-07-03 00:00:00.000000,JP2023-200010A,2024-01-03 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を提供する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 00:40:15.300825,2025-04-27 10:22:43.146696
22,2023-200011,2023-09-13 00:00:00.000000,JP2023-200011A,2024-03-13 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:40:15.321289,2025-04-27 10:22:43.161583
23,2023-200012,2023-06-02 00:00:00.000000,JP2023-200012A,2025-12-02 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を改善する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 00:40:15.340324,2025-04-27 10:22:43.175769
24,2023-200013,2023-12-08 00:00:00.000000,JP2023-200013A,2024-06-08 00:00:00.000000,,,情報処理に関する処理,本発明は、情報処理に関する処理を改善する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理処理を実現できる。,2025-04-27 00:40:15.357450,2025-04-27 10:22:43.188992
25,2023-200014,2023-02-22 00:00:00.000000,JP2023-200014A,2025-08-22 00:00:00.000000,,,制御システムに関するデバイス,本発明は、制御システムに関するデバイスを実現する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システムデバイスを実現できる。,2025-04-27 00:40:15.372588,2025-04-27 10:22:43.208731
26,2022-200015,2022-12-28 00:00:00.000000,JP2022-200015A,2023-06-28 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を改善する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 00:40:15.393027,2025-04-27 10:22:43.225321
27,2022-200016,2022-12-12 00:00:00.000000,JP2022-200016A,2023-06-12 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を改善する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 00:40:15.408749,2025-04-27 10:22:43.243315
28,2022-200017,2022-05-13 00:00:00.000000,JP2022-200017A,2024-11-13 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを最適化する。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 00:40:15.425793,2025-04-27 10:22:43.260001
29,2022-200018,2022-03-19 00:00:00.000000,JP2022-200018A,2024-09-19 00:00:00.000000,,,デバイスに関する技術,本発明は、デバイスに関する技術を可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス技術を実現できる。,2025-04-27 00:40:15.446359,2025-04-27 10:22:43.276348
30,2022-200019,2022-09-21 00:00:00.000000,JP2022-200019A,2023-03-21 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を可能にする。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 00:40:15.461680,2025-04-27 10:22:43.295067
31,2023-100010,2023-04-16 00:00:00.000000,JP2023-100010A,2025-10-16 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を向上させる。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:21:13.951884,2025-04-27 10:21:13.950900
32,2023-100011,2023-07-07 00:00:00.000000,JP2023-100011A,2024-01-07 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを提供する。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 10:21:13.966225,2025-04-27 10:21:13.965759
33,2023-100012,2023-10-14 00:00:00.000000,JP2023-100012A,2024-04-14 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を向上させる。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:21:13.980050,2025-04-27 10:21:13.979575
34,2023-100013,2023-03-03 00:00:00.000000,JP2023-100013A,2025-09-03 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 10:21:13.990504,2025-04-27 10:21:13.990073
35,2023-100014,2023-10-06 00:00:00.000000,JP2023-100014A,2024-04-06 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を向上させる。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:21:14.008892,2025-04-27 10:21:14.008416
36,2022-100015,2022-08-20 00:00:00.000000,JP2022-100015A,2023-02-20 00:00:00.000000,,,デバイスに関する回路,本発明は、デバイスに関する回路を実現する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス回路を実現できる。,2025-04-27 10:21:14.023021,2025-04-27 10:21:14.022436
37,2022-100016,2022-11-27 00:00:00.000000,JP2022-100016A,2023-05-27 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を最適化する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 10:21:14.038140,2025-04-27 10:21:14.037672
38,2022-100017,2022-04-24 00:00:00.000000,JP2022-100017A,2024-10-24 00:00:00.000000,,,制御システムに関するデバイス,本発明は、制御システムに関するデバイスを向上させる。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システムデバイスを実現できる。,2025-04-27 10:21:14.057362,2025-04-27 10:21:14.056849
39,2022-100018,2022-06-14 00:00:00.000000,JP2022-100018A,2024-12-14 00:00:00.000000,,,デバイスに関する回路,本発明は、デバイスに関する回路を改善する。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス回路を実現できる。,2025-04-27 10:21:14.073564,2025-04-27 10:21:14.073095
40,2022-100019,2022-09-09 00:00:00.000000,JP2022-100019A,2023-03-09 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を可能にする。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 10:21:14.087393,2025-04-27 10:21:14.086767
41,2025-300000,2025-03-03 00:00:00.000000,JP2025-300000A,2027-09-03 00:00:00.000000,,,デバイスに関する技術,本発明は、デバイスに関する技術を可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス技術を実現できる。,2025-04-27 10:23:22.910387,2025-04-27 10:23:22.908194
42,2025-300001,2025-09-05 00:00:00.000000,JP2025-300001A,2026-03-05 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 10:23:22.933302,2025-04-27 10:23:22.932741
43,2025-300002,2025-03-23 00:00:00.000000,JP2025-300002A,2027-09-23 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 10:23:22.948303,2025-04-27 10:23:22.947843
44,2025-300003,2025-03-11 00:00:00.000000,JP2025-300003A,2027-09-11 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 10:23:22.962928,2025-04-27 10:23:22.962414
45,2025-300004,2025-01-17 00:00:00.000000,JP2025-300004A,2027-07-17 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを提供する。特に、信頼性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 10:23:22.976413,2025-04-27 10:23:22.975890
46,2024-300005,2024-01-09 00:00:00.000000,JP2024-300005A,2026-07-09 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を提供する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 10:23:22.991531,2025-04-27 10:23:22.991057
47,2024-300006,2024-08-16 00:00:00.000000,JP2024-300006A,2025-02-16 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を実現する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:23:23.003636,2025-04-27 10:23:23.003158
48,2024-300007,2024-05-21 00:00:00.000000,JP2024-300007A,2026-11-21 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を最適化する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 10:23:23.018521,2025-04-27 10:23:23.018059
49,2024-300008,2024-09-17 00:00:00.000000,JP2024-300008A,2025-03-17 00:00:00.000000,,,デバイスに関する技術,本発明は、デバイスに関する技術を可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス技術を実現できる。,2025-04-27 10:23:23.030586,2025-04-27 10:23:23.030130
50,2024-300009,2024-07-11 00:00:00.000000,JP2024-300009A,2025-01-11 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を提供する。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 10:23:23.045241,2025-04-27 10:23:23.044775
51,2023-300010,2023-02-18 00:00:00.000000,JP2023-300010A,2025-08-18 00:00:00.000000,,,制御システムに関するデバイス,本発明は、制御システムに関するデバイスを実現する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システムデバイスを実現できる。,2025-04-27 10:23:23.058103,2025-04-27 10:23:23.057596
52,2023-300011,2023-10-14 00:00:00.000000,JP2023-300011A,2024-04-14 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を向上させる。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 10:23:23.071530,2025-04-27 10:23:23.071040
53,2023-300012,2023-02-10 00:00:00.000000,JP2023-300012A,2025-08-10 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を実現する。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:23:23.084365,2025-04-27 10:23:23.083915
54,2023-300013,2023-01-17 00:00:00.000000,JP2023-300013A,2025-07-17 00:00:00.000000,,,情報処理に関するシステム,本発明は、情報処理に関するシステムを提供する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な情報処理システムを実現できる。,2025-04-27 10:23:23.097619,2025-04-27 10:23:23.097159
55,2023-300014,2023-07-03 00:00:00.000000,JP2023-300014A,2024-01-03 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を提供する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 10:23:23.108429,2025-04-27 10:23:23.107923
56,2022-300015,2022-08-16 00:00:00.000000,JP2022-300015A,2023-02-16 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を実現する。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 10:23:23.118645,2025-04-27 10:23:23.118219
57,2022-300016,2022-03-19 00:00:00.000000,JP2022-300016A,2024-09-19 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を可能にする。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 10:23:23.128308,2025-04-27 10:23:23.127821
58,2022-300017,2022-08-16 00:00:00.000000,JP2022-300017A,2023-02-16 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を実現する。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:23:23.142111,2025-04-27 10:23:23.141622
59,2022-300018,2022-02-02 00:00:00.000000,JP2022-300018A,2024-08-02 00:00:00.000000,,,デバイスに関する回路,本発明は、デバイスに関する回路を実現する。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス回路を実現できる。,2025-04-27 10:23:23.154682,2025-04-27 10:23:23.154241
60,2022-300019,2022-04-04 00:00:00.000000,JP2022-300019A,2024-10-04 00:00:00.000000,,,画像処理に関する方法,本発明は、画像処理に関する方法を向上させる。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理方法を実現できる。,2025-04-27 10:23:23.166232,2025-04-27 10:23:23.165757
